LocationName,Measure,Stroke_Rate_%_by_tract,Stroke_Low_Confidence_Limit,Stroke_High_Confidence_Limit
1039962000,Stroke among adults aged >=18 years,4.2,3.8,4.6
1069040301,Stroke among adults aged >=18 years,3.6,3.2,4.1
1073002000,Stroke among adults aged >=18 years,6,5.3,6.8
1073003600,Stroke among adults aged >=18 years,5.1,4.5,5.7
1073003802,Stroke among adults aged >=18 years,4.6,4.1,5
1073011205,Stroke among adults aged >=18 years,3,2.7,3.4
1073011400,Stroke among adults aged >=18 years,3.6,3.3,4
1073011600,Stroke among adults aged >=18 years,3,2.8,3.3
1073011803,Stroke among adults aged >=18 years,4,3.7,4.5
1073012304,Stroke among adults aged >=18 years,3.4,3,3.9
1073012910,Stroke among adults aged >=18 years,1.7,1.5,1.9
1077011700,Stroke among adults aged >=18 years,3.3,3,3.6
1079979800,Stroke among adults aged >=18 years,3.9,3.5,4.4
1083020401,Stroke among adults aged >=18 years,3.6,3.1,4.1
1101005800,Stroke among adults aged >=18 years,4.4,4,4.9
1111000500,Stroke among adults aged >=18 years,3.9,3.6,4.3
1115040205,Stroke among adults aged >=18 years,3.9,3.5,4.3
1121010101,Stroke among adults aged >=18 years,2.4,2.2,2.7
2020001200,Stroke among adults aged >=18 years,2.5,2.2,3
2020001300,Stroke among adults aged >=18 years,2.4,2.1,2.8
2020002303,Stroke among adults aged >=18 years,2.1,1.9,2.3
4003001402,Stroke among adults aged >=18 years,0.9,0.8,1
4005000800,Stroke among adults aged >=18 years,2.1,1.9,2.3
4005942201,Stroke among adults aged >=18 years,5.2,4.8,5.7
4013010101,Stroke among adults aged >=18 years,3.2,2.8,3.7
4013050604,Stroke among adults aged >=18 years,2.9,2.6,3.2
4013061023,Stroke among adults aged >=18 years,2,1.8,2.2
4013061401,Stroke among adults aged >=18 years,3.6,3.2,4
4013071511,Stroke among adults aged >=18 years,2.7,2.4,3
4013071913,Stroke among adults aged >=18 years,3,2.6,3.3
4013082017,Stroke among adults aged >=18 years,1.6,1.5,1.8
4013082027,Stroke among adults aged >=18 years,1.6,1.4,1.8
4013092500,Stroke among adults aged >=18 years,3.5,3.1,3.9
4013092708,Stroke among adults aged >=18 years,2,1.8,2.3
4013093101,Stroke among adults aged >=18 years,3.8,3.4,4.2
4013103210,Stroke among adults aged >=18 years,2.7,2.2,3.1
4013103303,Stroke among adults aged >=18 years,3.6,3.1,4.2
4013103702,Stroke among adults aged >=18 years,2.7,2.3,3.1
4013104100,Stroke among adults aged >=18 years,2.7,2.4,3.1
4013104212,Stroke among adults aged >=18 years,2.2,2,2.5
4013104225,Stroke among adults aged >=18 years,3,2.7,3.4
4013105502,Stroke among adults aged >=18 years,2.1,1.9,2.3
4013106003,Stroke among adults aged >=18 years,3.6,3.2,4
4013106502,Stroke among adults aged >=18 years,2.7,2.4,3.1
4013109102,Stroke among adults aged >=18 years,2.8,2.5,3.1
4013109601,Stroke among adults aged >=18 years,2.7,2.4,3
4013110502,Stroke among adults aged >=18 years,2.2,2,2.5
4013113501,Stroke among adults aged >=18 years,3,2.7,3.4
4013114401,Stroke among adults aged >=18 years,4.1,3.7,4.5
4013115900,Stroke among adults aged >=18 years,3.1,2.8,3.4
4013116202,Stroke among adults aged >=18 years,2.7,2.4,3
4013116613,Stroke among adults aged >=18 years,1.9,1.7,2.1
4013116708,Stroke among adults aged >=18 years,3.6,3,4.3
4013216819,Stroke among adults aged >=18 years,3.1,2.6,3.6
4013216829,Stroke among adults aged >=18 years,2.8,2.4,3.3
4013216842,Stroke among adults aged >=18 years,2,1.7,2.3
4013218300,Stroke among adults aged >=18 years,3.9,3.4,4.5
4013319905,Stroke among adults aged >=18 years,2.4,2.1,2.7
4013420301,Stroke among adults aged >=18 years,2.5,2.1,2.8
4013420705,Stroke among adults aged >=18 years,2.3,2,2.6
4013420901,Stroke among adults aged >=18 years,2.7,2.3,3
4013421801,Stroke among adults aged >=18 years,2.4,2.1,2.6
4013421902,Stroke among adults aged >=18 years,2.9,2.6,3.2
4013422205,Stroke among adults aged >=18 years,2.5,2.2,2.9
4013422222,Stroke among adults aged >=18 years,2.2,1.9,2.5
4013422502,Stroke among adults aged >=18 years,2.1,1.9,2.4
4013422509,Stroke among adults aged >=18 years,2.1,1.9,2.4
4013422628,Stroke among adults aged >=18 years,4.9,4.3,5.5
4013422635,Stroke among adults aged >=18 years,4.9,4.1,5.8
